/static/dataset/ferrari\black\3935506954_d745b3dbd7_b.jpg	[0.11300958546852123, 0.024313975567349926, 0.02241518347364568, 0.02760969527818448, 0.02583529694363104, 0.025243354227672037, 0.02253099835285505, 0.019361102214494875, 0.01884207997803807, 0.020166087115666177, 0.02048350567349927, 0.01875772099194729, 0.018348794381405565, 0.0170533835102489, 0.015796577598828698, 0.01598245333089312, 0.01649861594070278, 0.015125995150073207, 0.01497729456442167, 0.015357624908491947, 0.013674734626647145, 0.013671875, 0.01606967194363104, 0.015686481972913616, 0.014655586566617862, 0.013373044015373352, 0.012831144765739384, 0.012598085193997072, 0.013780540812591509, 0.013152852763543192, 0.013734786786237189, 0.013418798041727673, 0.014022179264275255, 0.014396790355051245, 0.015572096907027818, 0.017385100201317717, 0.01779688643850659, 0.01779688643850659, 0.01763674734626647, 0.011778802159590044, 0.008907737005856516, 0.008833386713030746, 0.007895429172767204, 0.007307775896778917, 0.008781913433382138, 0.010523426061493412, 0.01319860678989751, 0.018047103770131773, 0.021625926519033674, 0.023609077598828698, 0.023084336109077598, 0.016188346449487554, 0.009811379026354318, 0.007921165812591509, 0.004107853678623719, 0.0026808999816983893, 0.0022805522510980967, 0.0022862715043923867, 0.0023792093704245974, 0.002330595717423133, 0.0023091485175695463, 0.002200482704978038, 0.00445529831625183, 0.008491661328696925]
/static/dataset/ferrari\black\4217100714_29a5fb4dee_b.jpg	[0.031738996156661786, 0.027521046852122987, 0.020600750366032212, 0.026458695552708637, 0.022263623261347, 0.023411763360175697, 0.026941972456076133, 0.027069225841874087, 0.027669747437774523, 0.028879369509516837, 0.030905414989019032, 0.033516254117862375, 0.03831041819180088, 0.038105954886530014, 0.030234832540263542, 0.025992576409224012, 0.02303429264275256, 0.02085382732430454, 0.01924385752196193, 0.01823726894216691, 0.017217812042459736, 0.01647430911420205, 0.015440554081259151, 0.014228072382869692, 0.012781101299414349, 0.011650118960468522, 0.011191148883601757, 0.011397042002196192, 0.012410779648609078, 0.013736216599560761, 0.01493154053806735, 0.014997311950951683, 0.015419106881405563, 0.016986182284040995, 0.01822440062225476, 0.019454040080527087, 0.01989013314421669, 0.015238950402635431, 0.011182570003660321, 0.009675546760614934, 0.009555442441434846, 0.009616924414348462, 0.009519697108345535, 0.009388154282576867, 0.009209427617130308, 0.009559731881405563, 0.009378145589311859, 0.009340970442898975, 0.00963837161420205, 0.009156524524158126, 0.008963499725475842, 0.009278058656661786, 0.009123638817715959, 0.008648940794289897, 0.006271161237188873, 0.005456167642752563, 0.004791304447291362, 0.005034372712298682, 0.004215089677891654, 0.003032634059297218, 0.0020274752928257688, 0.0015241810029282578, 0.0015484878294289898, 0.0022047721449487555]
/static/dataset/ferrari\black\4812143761_1bef15cab8_b.jpg	[0.004620773002199413, 0.006085616752199413, 0.0070492920637829914, 0.00976132927052786, 0.010159400201612902, 0.008963755498533725, 0.008876408999266863, 0.010316910282258064, 0.009609546829178885, 0.009197156799853373, 0.011157441348973608, 0.01105863957111437, 0.01128631323313783, 0.013054721865835776, 0.015619272360703812, 0.016747617302052785, 0.014289028134164224, 0.014343440707478006, 0.014954866202346042, 0.015335754215542521, 0.014228887921554252, 0.013900980571847507, 0.01545746655058651, 0.014688530975073314, 0.014552499541788857, 0.01640682276392962, 0.01759673982771261, 0.016857874358504398, 0.01695381231671554, 0.01675907258064516, 0.016529967008797653, 0.016319476264662756, 0.017409159640762464, 0.0183685392228739, 0.018882594849706745, 0.02132113728005865, 0.022993607954545456, 0.022340657074780057, 0.021908220307917888, 0.020966023643695014, 0.019293552969208212, 0.018054950971407625, 0.017589580278592375, 0.017129937225073315, 0.01571807413856305, 0.01480165185117302, 0.014897589809384165, 0.013951097415689149, 0.016491305443548387, 0.019267778592375367, 0.021258133247800588, 0.021537355663489736, 0.02182803335777126, 0.024501408999266863, 0.026122330920087977, 0.02276736620234604, 0.017841596407624633, 0.015169652675953079, 0.008839179343841642, 0.008966619318181818, 0.009847243859970675, 0.012915826612903226, 0.01802488086510264, 0.02625549853372434]
/static/dataset/ferrari\black\4875480073_008a4d174d_b.jpg	[0.046053083760997066, 0.04357731167521994, 0.028065432551319647, 0.027368092467008796, 0.02312963938782991, 0.02391289406158358, 0.024054653134164224, 0.023268534640762464, 0.02029875366568915, 0.022249014846041054, 0.02605503115835777, 0.028364701704545456, 0.02860812637463343, 0.030860520527859238, 0.031609409365835776, 0.03150917567815249, 0.029763677602639295, 0.027559968383431086, 0.02343320427052786, 0.020752669079912023, 0.018895482038123166, 0.017337564149560118, 0.015335754215542521, 0.014283300494868036, 0.013471407624633431, 0.012944464809384165, 0.012824184384164224, 0.012473366477272728, 0.012433273002199414, 0.011897738728005865, 0.011916353555718476, 0.011873396260997067, 0.011609924853372434, 0.01188198771994135, 0.011831870876099706, 0.01161708440249267, 0.012239965175953079, 0.012420385813782991, 0.012241397085777126, 0.011217581561583577, 0.009898792613636364, 0.0094634920271261, 0.009029623350439882, 0.00823491339809384, 0.007745200238269794, 0.007450226814516129, 0.0069404669171554256, 0.006568170362903226, 0.006621151026392962, 0.006225943914956011, 0.0059295385813782995, 0.00574768603372434, 0.0051405562683284455, 0.004811217008797654, 0.004792602181085044, 0.004990205736803519, 0.004894267778592375, 0.00501311629398827, 0.005409755315249267, 0.005640292796920821, 0.0055844483137829914, 0.005720479747067448, 0.008685964992668622, 0.028221510722140762]
/static/dataset/ferrari\black\5665995420_726bce2783_b.jpg	[0.007765271548361935, 0.030579660686427458, 0.041745380752730106, 0.03950736154446178, 0.029996160783931358, 0.028324882995319812, 0.03261810159906396, 0.03548684916146646, 0.03529641185647426, 0.03016526911076443, 0.026089910783931358, 0.02478122562402496, 0.0252245636700468, 0.020942009555382217, 0.017904153666146647, 0.017037283053822152, 0.014840398303432136, 0.013053334633385335, 0.012198652008580344, 0.011467372757410296, 0.010851879387675506, 0.011069739664586584, 0.011139820592823714, 0.011406432819812793, 0.013318423361934477, 0.0170311890600624, 0.01913971090093604, 0.018341397718408738, 0.01666402593603744, 0.015228890405616225, 0.015465032663806551, 0.017827978744149767, 0.01931491322152886, 0.01830788075273011, 0.01700071909126365, 0.01575906786271451, 0.013802895865834634, 0.01266331903276131, 0.011557259165366615, 0.00971534955148206, 0.008048642258190328, 0.00778050653276131, 0.008545302749609985, 0.01041920583073323, 0.008900277886115445, 0.009561476209048361, 0.01123732449297972, 0.012983253705148206, 0.014298032858814353, 0.015810866809672388, 0.014753558892355694, 0.01151003071372855, 0.007172630655226209, 0.004969651911076443, 0.004354158541341653, 0.004439474453978159, 0.00468628120124805, 0.004055552847113885, 0.00434349405226209, 0.0041088752925117, 0.00426122513650546, 0.004613153276131045, 0.006547996294851794, 0.021968847503900157]
/static/dataset/ferrari\black\6011433427_cede676575_b.jpg	[0.15021189833455345, 0.02481155060395315, 0.017539520040263542, 0.014915812591508053, 0.015067372803806735, 0.015755113012445095, 0.012892626738653, 0.010477672035139092, 0.011970397144948755, 0.012087641837481698, 0.011532874267935578, 0.014148002836749635, 0.013749084919472914, 0.011448515281844802, 0.010653539073938506, 0.010965238378477305, 0.01143564696193265, 0.011805968612737921, 0.010353278275988287, 0.009611205161054173, 0.009639801427525622, 0.010389023609077598, 0.011694443173499268, 0.012585216874084919, 0.013867759425329428, 0.013999302251098097, 0.013457403001464129, 0.014406799048316252, 0.016176907942898975, 0.017352214494875548, 0.01841027635431918, 0.019286751921669107, 0.019521241306734993, 0.020313357887994144, 0.021690268118594435, 0.020958203696925328, 0.02032193676793558, 0.01798276217057101, 0.015371923041727673, 0.014751384059297218, 0.013241501189604685, 0.012419358528550513, 0.011405620882137629, 0.01101957128477306, 0.010627802434114202, 0.009981526811859444, 0.009382435029282576, 0.009113630124450952, 0.00835582906295754, 0.008254312316983894, 0.009042139458272327, 0.010083043557833089, 0.009729879666910688, 0.009203708363836018, 0.009062156844802343, 0.008870561859443632, 0.007912586932650073, 0.006592869234992679, 0.006282599743777453, 0.006773025713762811, 0.007394994509516838, 0.008804790446559298, 0.03022768347364568, 0.042608437042459736]
/static/dataset/ferrari\black\6226714304_496944d4cc_b.jpg	[0.0, 0.0, 1.3563368055555555e-05, 4.0690104166666664e-05, 0.000213623046875, 0.003334893120659722, 0.04676649305555555, 0.1300506591796875, 0.06429375542534722, 0.03999159071180555, 0.041083441840277776, 0.03280978732638889, 0.023844401041666668, 0.019327799479166668, 0.016170925564236112, 0.013044569227430556, 0.011740790473090278, 0.011850992838541666, 0.011111789279513888, 0.013231065538194444, 0.017439100477430556, 0.0191802978515625, 0.017706976996527776, 0.017874823676215276, 0.018168131510416668, 0.0177764892578125, 0.016564263237847224, 0.016018337673611112, 0.0158233642578125, 0.015428331163194444, 0.015187581380208334, 0.014521280924479166, 0.014538235134548612, 0.014899359809027778, 0.015428331163194444, 0.016559176974826388, 0.017144097222222224, 0.017550998263888888, 0.016111585828993056, 0.014483981662326388, 0.013085259331597222, 0.011957804361979166, 0.011274549696180556, 0.012237548828125, 0.012839423285590278, 0.013644748263888888, 0.014012654622395834, 0.013373480902777778, 0.010732014973958334, 0.008811102973090278, 0.007795545789930556, 0.00628662109375, 0.005662706163194444, 0.005606757269965278, 0.005494859483506944, 0.013419257269965278, 0.019807603624131944, 0.003780788845486111, 0.0017496744791666667, 0.0006951226128472222, 0.0002560085720486111, 0.0001068115234375, 4.238552517361111e-05, 1.6954210069444444e-06]
/static/dataset/ferrari\black\6239294498_2627932e26_b.jpg	[0.003704494900173611, 0.022279527452256944, 0.081146240234375, 0.07575819227430555, 0.0391693115234375, 0.034964667426215276, 0.04127841525607639, 0.04040188259548611, 0.026499430338541668, 0.021318223741319444, 0.014656914605034722, 0.012298583984375, 0.012749565972222222, 0.010586208767361112, 0.010832044813368056, 0.011888292100694444, 0.013037787543402778, 0.013485378689236112, 0.014212714301215278, 0.015270657009548612, 0.0154571533203125, 0.018581814236111112, 0.019105699327256944, 0.015109592013888888, 0.013910929361979166, 0.013020833333333334, 0.012073092990451388, 0.010969373914930556, 0.009986029730902778, 0.008860270182291666, 0.008288913302951388, 0.007464938693576389, 0.006905449761284722, 0.006617228190104167, 0.006598578559027778, 0.006539238823784722, 0.006688435872395833, 0.006539238823784722, 0.006535847981770833, 0.007000393337673611, 0.006815592447916667, 0.007408989800347222, 0.009197658962673612, 0.012596978081597222, 0.0120849609375, 0.013297186957465278, 0.016315036349826388, 0.016016642252604168, 0.016718546549479168, 0.013671875, 0.008046468098958334, 0.005132039388020833, 0.004725138346354167, 0.004158867730034722, 0.003668891059027778, 0.004174126519097222, 0.005415174696180556, 0.003414577907986111, 0.002834743923611111, 0.0026601155598958335, 0.0036468505859375, 0.0065155029296875, 0.017094930013020832, 0.08259752061631945]
/static/dataset/ferrari\black\6864401265_b7b37ac522_b.jpg	[0.0003930068597560976, 0.00015779820884146342, 0.001292158917682927, 0.016668552305640245, 0.020780237709603657, 0.023638469416920733, 0.024162478563262195, 0.02383497284679878, 0.02002101991234756, 0.017253596608231708, 0.015697944455030487, 0.014371546303353659, 0.01175001190929878, 0.01107862519054878, 0.009522973037347561, 0.010688595655487805, 0.010331316692073171, 0.008443692835365854, 0.006754061070884146, 0.006956519150152439, 0.007989650819359756, 0.0081787109375, 0.008294826600609756, 0.009726919778963415, 0.011702374714176829, 0.010033584222560975, 0.011033965320121951, 0.013461973608993903, 0.016385706459603657, 0.021491818311737805, 0.02682420684070122, 0.032037502381859755, 0.03890767911585366, 0.044393399866615856, 0.044472298971036585, 0.04469410966082317, 0.04162448790015244, 0.043477872522865856, 0.046102384241615856, 0.03575171493902439, 0.031223204077743903, 0.024737102229420733, 0.02175977753429878, 0.020906774009146343, 0.018978956269054877, 0.013006442930640244, 0.010575457317073171, 0.00892601943597561, 0.007560916063262195, 0.006372963509908537, 0.006030571169969513, 0.005841511051829268, 0.006145198170731708, 0.008205506859756097, 0.009024271150914634, 0.007511790205792683, 0.0057715439214939025, 0.003538550400152439, 0.002422053639481707, 0.0019352610518292683, 0.0023580411585365853, 0.0034001048018292685, 0.0023371998856707315, 0.001048018292682927]
/static/dataset/ferrari\red\1408706779_ef3c0138e8_b.jpg	[0.01134160471732746, 0.02039739353891336, 0.03320455901248164, 0.03810888169970631, 0.02877489445668135, 0.02682463748164464, 0.02179125367107195, 0.019951415657121878, 0.018395512114537445, 0.022169832966226138, 0.019515475862701907, 0.022217155378120412, 0.027693649045521292, 0.03936220860866373, 0.04455620181718062, 0.04488745870044053, 0.042327746420704845, 0.04295010783773862, 0.053541724027165935, 0.05416838748164464, 0.03635938647209985, 0.02526156387665198, 0.02503785792951542, 0.02883368896842878, 0.028792102606461086, 0.030223247063142437, 0.03308840400146843, 0.03212761563876652, 0.02664825394640235, 0.018564725587371513, 0.014322916666666666, 0.013111176119676946, 0.010776603799559472, 0.009313911068281939, 0.007808197962555066, 0.004522875367107195, 0.0018211958516886932, 0.0012332507342143906, 0.0011830602973568283, 0.001184494309838473, 0.0012963472834067549, 0.001251892896475771, 0.0011558140602055801, 0.001068339298825257, 0.0009937706497797356, 0.0009148999632892804, 0.0007643286527165932, 0.0006309654919236417, 0.0005879451174743025, 0.0005076404185022027, 0.0005191125183553598, 0.0004646200440528634, 0.00046892208149779737, 0.0005119424559471365, 0.00044741189427312776, 0.0004674880690161527, 0.00042876973201174746, 0.0004244676945668135, 0.000362805157856094, 0.0003699752202643172, 0.0003255208333333333, 0.0003886173825256975, 0.0008388973017621146, 0.0024148770190895743]
