/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.10690451860209657, 0.040363430682665624, 0.0052894287927388317, 0.0078449353463888784, 0.019152542351204192, 0.0035366851577981208, 0.013446215174345712, 0.045297197796533149, 0.055381052509179546, 0.030735230902912074, 0.012452692846073079, 0.016933429481984227, 0.016686555156785764, 0.013444104144346106, 0.0053078837347133026, 0.014839742913852327, 0.0089880577709396531, 0.027721276607431757, 0.071816323079167424, 0.048726791640845771, 0.015700854917575769, 0.010616583650015022, 0.025507509947661527, 0.014031967709935939, 0.023679342572660293, 0.029111581292168478, 0.047572384047586479, 0.023832154745338268, 0.048999896433172145, 0.060636191358097648, 0.026006796563233122, 0.0093695641402302583, 0.01715582351195212, 0.013627498295789483, 0.016375036253276468, 0.052908652841125697]	'0005080207020102000508020702010200050802070201020005080207020102'
/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.026270541389105558, 0.027305762383045277, 0.014983812227007945, 0.035118856748457987, 0.023744324855393059, 0.031554190074046473, 0.010086453263729405, 0.013638797931421623, 0.0083554713832023723, 0.03663750545343334, 0.019320507870558206, 0.028810294820505573, 0.027656450862006573, 0.016409671844313155, 0.011794746047787937, 0.011652396510673997, 0.017792360261619861, 0.027531734181549698, 0.054595558323230792, 0.089289399867606478, 0.069786457510922356, 0.035211095265453268, 0.035585432545432616, 0.022266966005976784, 0.0024887105861088571, 0.019791499528709646, 0.028539356474005739, 0.027676423498748357, 0.022597690761550958, 0.085436282012516671, 0.031214393493306503, 0.052463420649357571, 0.022882751855529366, 0.0054955462865205291, 0.0012088685951602502, 0.0048062155041560693]	'03010501010100010401030105010101000104010301050101010001040103010501010100010401'
/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.033999664379420154, 0.015709359291668216, 0.037696840090524583, 0.046928379588234211, 0.056577587637127794, 0.018047722566274078, 0.01342689764374337, 0.016486274339161323, 0.043142403119529146, 0.0025261073189476657, 0.015268285244896847, 0.0083619554087360996, 0.070055655579879542, 0.099030594350855428, 0.016480982381776622, 0.012522270190811835, 0.0084893705433595774, 0.010615692700280876, 0.010069219269767523, 0.011531500183821285, 0.019183428465434728, 0.058369897577833695, 0.044143385200927122, 0.020929926874396772, 0.0033453109718594395, 0.0021560947826239087, 0.010313326443687543, 0.014595002733788262, 0.039010507509268301, 0.043216663843155041, 0.090189906282309801, 0.070051076186675776, 0.023024407354273642, 0.0082095268370154326, 0.00088793496584050832, 0.0054068167736416976]	'04020302080202010001040203020802020100010402030208020201000104020302080202010001'
/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.014954240933314914, 0.015440795064373763, 0.019762730789099445, 0.057950009445942717, 0.14375721712532408, 0.037549115619397881, 0.0065434659974213426, 0.0060233309449910389, 0.023692269158590577, 0.0041652291099251214, 0.012207044714190983, 0.0056574612023837156, 0.048100647664342938, 0.04798099473963819, 0.00087734738931830015, 0.0017949805055866245, 0.0095914698395289516, 0.0024972860994035917, 0.0012319524862358397, 0.0079546748740920836, 0.021558816970925494, 0.04075119625135902, 0.15308607615745751, 0.0092526239132881011, 0.0087012183389346513, 0.0028892322851591626, 0.0012775342996806834, 0.00070363348494525816, 0.0010773527551615765, 0.020384561324658566, 0.046409980005844668, 0.19595190090733272, 0.025624581867644766, 0.0029660960337678029, 0.0016329051799457111, -1.0549332309562308e-17]	'0407030205010801040703020501080104070302050108010407030205010801'
/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.13448644064142451, 0.01606955283481639, 0.012135729647311222, 0.0053175863405820253, 0.005118341322379082, 0.0042149888718282869, 0.0062112072300682308, 0.031064025308489417, 0.075786392497875305, 0.08527733665995528, 0.015245706400819965, 0.01456032785431491, 0.0078943989247260513, 0.010467387043040018, 0.0031102555715838828, 0.0040334959201796926, 0.018553073703800306, 0.035744874235277224, 0.013596670874309855, 0.024943110106854065, 0.044264149129317767, 0.087927262412015345, 0.093235772696417446, 0.02622227647804147, 0.010040515634303191, 0.007703972513987265, 0.018108048032095439, 0.019671248514258149, 0.03014347585104174, 0.030746835865664044, 0.041986158288310232, 0.0097662503499166657, 0.0083620082137682416, 0.02123960903765916, 0.010503813705776979, 0.016247682785006431]	'000608030701000608030701000608030701000608030701'
/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.016505079537294732, 0.043608810515450375, 0.046740948348546557, 0.034021239412936256, 0.025256323737648901, 0.012065324049594641, 0.0068817170502557898, 0.017754734355113693, 0.010272854001246277, 0.024426649105560794, 0.036169002983565721, 0.02968766460084921, 0.053578377909529046, 0.072843145884833996, 0.021208934938892563, 0.0022040364818876352, 0.013972709751249958, 0.015837649397783364, 0.13301481396600498, 0.081095850693321259, 0.015858174507893754, 0.011519988805255213, 0.019591461529417077, 0.0075055353132533155, 0.0057397118628892642, 0.010122305795826608, 0.075409411535096102, 0.0748982895451209, 0.018741197094706338, 0.011612574982226434, 0.022020459881254797, 0.013777430450030381, 0.0042529826333374942, 0.0010194304432396943, 0.0021848599343867524, 0.0086002990858193174]	'0202010203010401020201020301040102020102030104010202010203010401'
/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.015377893835891348, 0.057898385339402232, 0.040459715537552517, 0.085526797840340049, 0.18185141913734776, 0.016453672772105705, 0.008430703576155666, 0.0076410354532409222, 0.017640439241161959, 0.011723630535620413, 0.028616643267735428, 0.034412550402248429, 0.069561755613389772, 0.15729328359183722, 0.035482091791268711, 0.016680623222002481, 0.010132805123493144, 0.0067431970578481736, 0.001448225391945928, 0.00137503053250096, 0.0051607304342312192, 0.034411570941693517, 0.048917621487059769, 0.018825163500863749, 0.0062059131098658902, 0.00029216749081918745, 0.0036554412170545043, 0.0094014273131090183, 0.0022367174226217905, 0.018993613879654366, 0.015732983089614665, 0.022509597681089476, 0.0066414942384491098, 7.1974396143770764e-19, 0.0017880042391323207, 0.00047760089619785774]	'0409030401020202040903040102020204090304010202020409030401020202'
/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.0026090031012495447, 0.029855898326490729, 0.010053980654783707, 0.077748951736401686, 0.12690999940386982, 0.03260496733216818, 0.013242887917703292, 0.01691119287984193, 0.0075082534428017912, 0.0028647292439264731, 0.0048212575524628721, 0.038997188940743645, 0.068676939251471003, 0.030735920457357593, 0.014563431609712999, 0.01192452808356217, 0.0051304601332353168, 0.0050267663651694513, 0.028223400491239871, 0.021527866422945071, 0.019910884090044642, 0.0077641210079191511, 0.012241417623909416, 0.0042798488694499037, 0.0016195376454335897, 0.0048602111439773332, 0.015939944442906855, 0.064374332012646238, 0.061493221756875938, 0.11894193801821443, 0.058327725092566188, 0.038269875452111995, 0.0066157892573932963, 2.3268532691162518e-18, 0.011204211567379543, 0.024219291579800416]	'0406030305010101040603030501010104060303050101010406030305010101'
/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.0050261488494808843, 0.0012481654285290058, 0.025813085996113424, 0.08427202457743381, 0.094891312227792707, 0.021245682501269545, 0.0092617499735438251, 0.0050469362720139471, 0.0051684897535831725, 0.00020497844751998328, 0.0067988780087144887, 0.010848605764688992, 0.038576764991399122, 0.075616121838809586, 0.016945499543034887, 0.0066810876856055112, 0.0015048205123723722, 5.3776277959837165e-18, 0.056327913531511425, 0.10462320367587112, 0.1698768012986446, 0.034112219708599477, 0.058795938149182395, 0.009842895015444034, 0.0021734069585764878, 0.0069552256543634642, 0.013660565818137389, 0.025476838150776726, 0.024131126503249813, 0.025142053561262839, 0.023960992955732542, 0.020625928873507584, 0.0039079844891742165, 0.0028744433965487803, 0.001222443295130137, 0.0071396295169703899]	'0404030402010501040403040201050104040304020105010404030402010501'
/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.0013674726050203997, 0.020896434649109466, 0.027599169116100861, 0.044691014216703441, 0.037851830129912029, 0.013194469491420323, 0.013941081499387166, 0.0033267047203065789, 0.0031964143486756138, 0.14255863854202741, 0.063156422844199159, 0.053473383021562897, 0.022355991243423599, 0.0087117822352672635, 0.0026112767609808222, 0.014838189038588365, 0.02584482679829736, 0.029401344036113459, 0.0055199187641149653, 0.0029078812216164944, 0.042296913343346974, 0.088061443205476736, 0.064266185648120075, 0.01853767025972107, 0.010171408576543528, 0.0010493168069781525, 0.0027043231499286838, 0.045211594503346678, 0.039523381823081072, 0.051413355970565393, 0.012075377125725916, 0.015075433478887469, 0.015594239973289925, 0.014935092231875806, 0.01782880638801328, 0.023811181898683396]	'0302040102010101030204010201010103020401020101010302040102010101'
